Your Publication's Number|Title|Earliest Priority Date|Publication Date|Assignee(s)|Inventors|CPC Codes
US20090227857_A1|Biomedical electrode|3/6/2008|9/10/2009|COVIDIEN|"Garstka, Erick (Westfield);
Rowe, Chuck (Wabasha);
Dunagan, Jay (Wabasha);
Copp, Warren (Chicopee)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8449478_B2|Biopsy device|5/16/2008|5/28/2013|COVIDIEN|"Lee, Michael J. (Santa Rosa);
Lee, Michael J. ();
Snow, Brad A. ();
Krimsky, William ();
Krimsky, William (Bel Air);
Snow, Brad A. (Atlanta)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US8037895_B2|Coolant line clip assemblies for use with fluid delivery systems|5/20/2008|10/18/2011|COVIDIEN|Decarlo, Arnold V. (Frederick)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
F16L: PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES, CABLES OR PROTECTIVE TUBING; MEANS FOR THERMAL INSULATION IN GENERAL"
US8059059_B2|Slidable choke microwave antenna|5/29/2008|11/15/2011|COVIDIEN|Bonn, Kenlyn (Boulder)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H01Q: ANTENNAS, i.e. RADIO AERIALS"
US7789283_B2|Knife/firing rod connection for surgical instrument|6/6/2008|9/7/2010|COVIDIEN|Shah, Sachin (Milford)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US7942303_B2|Knife lockout mechanisms for surgical instrument|6/6/2008|5/17/2011|COVIDIEN|Shah, Sachin (Milford)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8701959_B2|Mechanically pivoting cartridge channel for surgical instrument|6/6/2008|4/22/2014|COVIDIEN|Shah, Sachin (Milford)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8192427_B2|Surface ablation process with electrode cooling methods|6/9/2008|6/5/2012|COVIDIEN|Buysse, Steven P. (Longmont)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US9271796_B2|Ablation needle guide|6/9/2008|3/1/2016|COVIDIEN|"Buysse, Steven P. (Longmont);
Ladtkow, Casey M. (Arvada);
Buysse, Joshua K. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8226639_B2|System and method for output control of electrosurgical generator|6/10/2008|7/24/2012|COVIDIEN|"Johnson, Kristin D. (Louisville);
Podhajsky, Ronald J. (Boulder);
Case, Jason (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8591509_B2|Electrosurgical pencil including improved controls|3/31/2008|11/26/2013|COVIDIEN|"Heard, David N. (Boulder);
Horner, Glenn A. (Boulder);
Reschke, Arlan J. (Longmont);
Kerr, Duane (Berthoud);
Fry, Monte (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8632536_B2|Electrosurgical pencil including improved controls|3/31/2008|1/21/2014|COVIDIEN|"Horner, Glenn A. (Boulder);
Kerr, Duane (Berthoud);
Fry, Monte (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8663219_B2|Electrosurgical pencil including improved controls|3/31/2008|3/4/2014|COVIDIEN|"Heard, David N. (Boulder);
Sartor, Joe D. (Longmont);
Kerr, Duane (Berthoud)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8663218_B2|Electrosurgical pencil including improved controls|3/31/2008|3/4/2014|COVIDIEN|"Heard, David N. (Boulder);
Allen, Iv James D. (Broomfield)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US7543730_B1|Segmented drive member for surgical instruments|6/24/2008|6/9/2009|COVIDIEN|Marczyk, Stanislaw (Stratford)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8343149_B2|Deployable microwave antenna for treating tissue|6/26/2008|1/1/2013|COVIDIEN|"Rossetto, Francesca (Longmont);
Prakash, Mani N. (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8162937_B2|High volume fluid seal for electrosurgical handpiece|6/27/2008|4/24/2012|COVIDIEN|"Romero, Paul R. (Loveland);
Cunningham, James S. (Boulder);
Roy, Jeffrey M. (Boulder)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US20090326347_A1|Synchronous Light Detection Utilizing CMOS/CCD Sensors For Oximetry Sensing|6/30/2008|12/31/2009|COVIDIEN|Scharf, Bennett (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
